sentiment,text,user
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","ellemc63"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","vitalinfo_"
"neutral","Your \"Junk Science\" is Garbage Data.\n Stop killing our elderly. https://t.co/0ofHnoXFBp","RickeyBobbie3"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","ChristineClx"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Tns729"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","gekko_qv"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","scottauburn"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","pinklemonade73"
"neutral","Who or what is a data science consultant? https://t.co/vS9P12oDRm #datascience","DataAugmented"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","OregonBlueVoter"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","jachavez"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","laurama48464240"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","NiniOlivero"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","indrapendence"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","McnultyRona"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","sanjayk110"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","R_mercy24"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","jccordero28"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","MuyLinda206"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","plemons7"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","DawnS_520"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","KimberlyStarne7"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","mbluetyphoon"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","TunisLawrence"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","dianaxop"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Modelogrande"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Cassidy_eye"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","joshuabroder"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","TooheySpence"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","_raqqqq"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","MacawingMeCrazy"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","woovette"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","sngitau"
"neutral","RT @Datascience__: R and Python: The Data Science Dynamic Duo https://t.co/ZLxJJ747f7  #DataScience","bungobot1"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","seif_nasir"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","lemdfde"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","PatKernan"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","MelMel1082"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","rachelt005"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","zismo64"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","SuzanneDuCharme"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","BearerPaulette"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","lizmattie"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","balanceforever1"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","lifewithden"
"neutral","RT @SamueL_WonG_: Should You Hire a Data Generalist or a Data Specialist? https://t.co/46OdUme0mv","Myticas"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","jeepdog01"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","AmericanCFLFan"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","12Colombiano59"
"positive","RT @UoL_UGrad_LSE: The University of London now offers supported online degrees in fields like economics, business and management, and data…","t_hacly"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","ssmunsell"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","MaryAnneGruen"
"positive","The National Institutes of Health have launched a new program aimed at leveraging data science technologies and pri… https://t.co/6kmLpH4OLR","DataInnovation"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","maryanne_rose"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","DidierBlokland"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Oldyella49"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","c_roll77"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","marlene_reimers"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","GarciaTP2"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","irishcoachbag"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","ncs1939"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Lord_Kingsley"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","vjzrqa"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","CombsCombs2"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","239ispeak"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","slowerly"
"positive","RT @UoL_UGrad_LSE: The University of London now offers supported online degrees in fields like economics, business and management, and data…","ndzu01"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Andrew_DBF"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","HenkvanHeusden"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","DameMegnificent"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Jacq_nyc"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","GeorgeSchellJr"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","SusanFigy"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Amandarose_718"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","browneyesbjk1"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","ValGalante_Love"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","bret_hitch"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","vernaschertz"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Mel04554759"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","cjk002"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","RPeezyFoSheezy"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","jennifergracen"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","SRO66793954"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","cielosigueazul"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","lbloveslife25"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","ColleenOrto"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","catahoulasam"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","chesleachelsea"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Wolf0926"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","CkellerCynthia"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","NesliOguzman"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Rayskicks987"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Hbicotus1"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","iheartwhotowls"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","inkonspicuo"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","MarinaMclelland"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","Kymon5"
"neutral","RT @upGrad_edu: Fascinated by the world of Data Science and AI? You aren’t alone. Pursue online PG programs.","PrinceYugendhar"
"positive","RT @doctorow: I'm a science fiction writer, so I quite enjoy thinking about self-driving cars. They make for really interesting analogies a…","WeAreAllEarth"
"neutral","RT @NYGovCuomo: Follow the science. Follow the data. Stop politicizing public health.","iameuru"